Id;ProductName;CategoryId;CategoryName;AveragePrice
6044;Bombonierki 47;15;Słodycze;12.07
6045;Kisiele 63;2;Artykuły spożywcze;1.34
6046;Woda niegazowana do 1 L 36;11;Napoje;1.59
6047;Sery żółte plastry 112;17;Spożywka świeża;3.47
6048;Pierogi 121;10;Dania gotowe;5.52
6049;Konserwy mięsne 1078;2;Artykuły spożywcze;4.57
6050;Czekolady duże 93;15;Słodycze;9.99
6052;Bułka zwykła odpiekana 75;12;Pieczywo;1.39
6053;Zabawki dla dzieci 621;5;Niespożywcze;6.99
6054;Wafle impulsowe 78;15;Słodycze;1.49
6055;Pasty do smarowania 124;17;Spożywka świeża;2.99
6056;Pieluchy 8;5;Niespożywcze;1.65
6057;Drinki alkoholowe do 4,5% 1;1;Alkohol;5.92
6059;Piwo jasne mainstream puszka 92;13;Piwo;2.78
6061;Pozostałe płatki 30;2;Artykuły spożywcze;3.99
6062;Wino białe półwytrawne 78;20;Wino;19.67
6063;Lody w kubeczku 21;21;Lody;2.49
6064;Sałatki warzywne 53;3;Szybkie przekąski;2.99
6065;Żelki, żujki, pianki 169;15;Słodycze;3.96
6067;Zabawki dla dzieci 648;5;Niespożywcze;12.61
6068;Przyprawy sypkie mix 63;2;Artykuły spożywcze;1.70
6069;Wino musujące alkoholowe 130;20;Wino;23.53
6070;Lody na patyku 121;21;Lody;1.88
6071;Zupy chińskie 213;2;Artykuły spożywcze;1.69
6072;Napoje witaminowe 35;11;Napoje;1.78
6073;Wino białe wytrawne 50;20;Wino;34.99
6074;Niespożywcze REG 54;5;Niespożywcze;0.35
6075;Szczoteczki do zębów 18;5;Niespożywcze;16.22
6076;Sałatki świeże lunchowe 21;3;Szybkie przekąski;7.53
6077;Ciastka impulsowe 39;15;Słodycze;1.75
6078;Pieczywo REG 42;12;Pieczywo;3.04
6079;Płatki 75;2;Artykuły spożywcze;3.99
6081;Warzywa inne 113;18;Warzywa & Owoce & Rośliny;3.06
6082;Ryby, przetwory rybne, owoce morza REG 3;17;Spożywka świeża;8.16
6084;Musztardy 196;2;Artykuły spożywcze;2.99
6085;Lody na patyku 232;21;Lody;2.31
6086;Sery białe kanapkowe 43;17;Spożywka świeża;7.46
6087;Wino czerwone półwytrawne 96;20;Wino;18.92
6088;Artykuły do żywności 184;5;Niespożywcze;1.89
6089;Przekąski mięsne 10;17;Spożywka świeża;4.94
6090;Batony impulsowe 518;15;Słodycze;4.83
6091;Jabłka 70;18;Warzywa & Owoce & Rośliny;1.05
6092;Przyprawy sypkie mono 122;2;Artykuły spożywcze;1.75
6093;Piwo REG 7;13;Piwo;2.94
6094;Woda gazowana powyżej 1 L 37;11;Napoje;1.24
6095;Wyroby mięsne luz 11;17;Spożywka świeża;6.60
6097;Wafle ryżowe 85;2;Artykuły spożywcze;2.23
6098;Cukierki twarde 6;15;Słodycze;3.96
6099;Plastry 193;17;Spożywka świeża;4.99
6100;Sałatki warzywne 64;3;Szybkie przekąski;4.37
6101;Warzywa, owoce, rośliny REG 20;18;Warzywa & Owoce & Rośliny;1.96
6104;Bułka zwykła odpiekana 58;12;Pieczywo;3.69
6105;Whisky do 0,75 L 140;1;Alkohol;71.91
6106;Kremy, masła czekoladowe 44;2;Artykuły spożywcze;2.17
6107;Sery żółte kostka 23;17;Spożywka świeża;25.43
6108;Desery dla dzieci 76;5;Niespożywcze;3.49
6109;Wafle impulsowe 80;15;Słodycze;0.55
6110;Soki świeże 60;3;Szybkie przekąski;4.21
6111;Szprot 11;2;Artykuły spożywcze;3.50
6112;Napoje energetyczne do 0,4 L 17;11;Napoje;2.26
6113;Pozostałe wędliny luz 166;17;Spożywka świeża;9.20
6114;Śmietanka UHT 1;17;Spożywka świeża;3.78
6115;Soki i nektary powyżej 0,5 L 319;11;Napoje;2.46
6116;Napoje izotoniczne do 0,5 L 37;11;Napoje;1.99
6117;Kabanosy 94;17;Spożywka świeża;4.48
6118;Czekolady duże 79;15;Słodycze;10.55
